datetime,symbol,open,high,low,close,volume
2021-05-20,BITKUB:KUBTHB,30.0,35.0,25.0,29.82,36890795.86538722
2021-05-21,BITKUB:KUBTHB,29.82,30.0,25.0,25.68,49878110.15575097
2021-05-22,BITKUB:KUBTHB,25.69,27.14,25.0,25.2,7484418.96804092
2021-05-23,BITKUB:KUBTHB,25.21,25.79,15.1,15.82,17221949.89190793
2021-05-24,BITKUB:KUBTHB,15.85,22.48,15.5,18.98,10237715.88539195
2021-05-25,BITKUB:KUBTHB,18.96,19.2,17.5,17.8,6433302.58006601
2021-05-26,BITKUB:KUBTHB,17.8,18.99,17.8,18.43,3684419.92048565
2021-05-27,BITKUB:KUBTHB,18.43,24.93,18.3,21.64,8475768.60606607
2021-05-28,BITKUB:KUBTHB,21.64,28.99,21.51,26.39,15631455.22871738
2021-05-29,BITKUB:KUBTHB,26.39,27.5,22.0,24.46,5002599.50438538
2021-05-30,BITKUB:KUBTHB,24.44,25.46,22.55,23.65,3463255.49805803
2021-05-31,BITKUB:KUBTHB,23.65,24.26,22.8,23.97,3081085.1811787
2021-06-01,BITKUB:KUBTHB,23.81,25.25,23.2,23.57,2883743.47589042
2021-06-02,BITKUB:KUBTHB,23.57,24.04,23.0,23.42,3327499.21839697
2021-06-03,BITKUB:KUBTHB,23.47,23.69,23.0,23.13,2610247.17788667
2021-06-04,BITKUB:KUBTHB,23.18,26.5,20.51,23.47,9865280.28770813
2021-06-05,BITKUB:KUBTHB,23.47,24.5,22.9,23.26,2405056.42740747
2021-06-06,BITKUB:KUBTHB,23.35,23.39,22.61,22.95,778988.1864423
2021-06-07,BITKUB:KUBTHB,22.99,23.3,22.73,22.73,575337.77397666
2021-06-08,BITKUB:KUBTHB,22.83,22.97,20.0,20.82,2343601.78832087
2021-06-09,BITKUB:KUBTHB,20.82,23.29,20.5,22.32,1409258.92774099
2021-06-10,BITKUB:KUBTHB,22.24,23.0,21.5,21.6,830501.1107519
2021-06-11,BITKUB:KUBTHB,21.6,22.0,20.0,20.7,1688188.50654743
2021-06-12,BITKUB:KUBTHB,20.43,20.93,20.0,20.5,1160229.10057616
2021-06-13,BITKUB:KUBTHB,20.5,20.68,20.0,20.17,755417.13309722
2021-06-14,BITKUB:KUBTHB,20.17,20.4,20.02,20.17,728573.9720692
2021-06-15,BITKUB:KUBTHB,20.21,20.95,20.07,20.13,1074519.2836878
2021-06-16,BITKUB:KUBTHB,20.13,20.29,18.8,19.0,1120963.83509206
2021-06-17,BITKUB:KUBTHB,19.1,19.93,18.91,19.22,621159.31758374
2021-06-18,BITKUB:KUBTHB,19.22,20.5,18.82,19.02,829314.11628945
2021-06-19,BITKUB:KUBTHB,19.02,19.25,18.0,18.59,595910.33734392
2021-06-20,BITKUB:KUBTHB,18.6,18.73,17.05,17.71,821844.43018623
2021-06-21,BITKUB:KUBTHB,17.71,18.23,16.41,16.41,1001077.10362571
2021-06-22,BITKUB:KUBTHB,16.41,16.53,12.5,15.0,1983042.64610301
2021-06-23,BITKUB:KUBTHB,15.0,16.5,13.9,15.4,1276491.59849315
2021-06-24,BITKUB:KUBTHB,15.39,15.9,14.55,15.52,430278.05696787
2021-06-25,BITKUB:KUBTHB,15.54,16.45,15.07,15.17,900924.90240436
2021-06-26,BITKUB:KUBTHB,15.18,15.5,14.5,14.95,582517.45958381
